# filename class_id label
R0000_07_7.BMP 7 7
R0001_26_Q.BMP 26 Q
R0002_10_A.BMP 10 A
R0003_00_0.BMP 0 0
R0004_08_8.BMP 8 8
R0005_15_F.BMP 15 F
R0006_36_a.BMP 36 a
R0007_60_y.BMP 60 y
R0008_03_3.BMP 3 3
R0009_42_g.BMP 42 g
R0010_03_3.BMP 3 3
R0011_28_S.BMP 28 S
R0012_02_2.BMP 2 2
R0013_53_r.BMP 53 r
R0014_49_n.BMP 49 n
R0015_30_U.BMP 30 U
R0016_41_f.BMP 41 f
R0017_53_r.BMP 53 r
R0018_04_4.BMP 4 4
R0019_04_4.BMP 4 4
R0020_05_5.BMP 5 5
R0021_00_0.BMP 0 0
R0022_39_d.BMP 39 d
R0023_02_2.BMP 2 2
R0024_04_4.BMP 4 4
R0025_01_1.BMP 1 1
R0026_09_9.BMP 9 9
R0027_01_1.BMP 1 1
R0028_40_e.BMP 40 e
R0029_01_1.BMP 1 1
R0030_08_8.BMP 8 8
R0031_20_K.BMP 20 K
R0032_28_S.BMP 28 S
R0033_14_E.BMP 14 E
R0034_27_R.BMP 27 R
R0035_02_2.BMP 2 2
R0036_02_2.BMP 2 2
R0037_03_3.BMP 3 3
R0038_07_7.BMP 7 7
R0039_32_W.BMP 32 W
R0040_05_5.BMP 5 5
R0041_08_8.BMP 8 8
R0042_61_z.BMP 61 z
R0043_03_3.BMP 3 3
R0044_03_3.BMP 3 3
R0045_07_7.BMP 7 7
R0046_25_P.BMP 25 P
R0047_06_6.BMP 6 6
R0048_08_8.BMP 8 8
R0049_38_c.BMP 38 c
R0050_22_M.BMP 22 M
R0051_07_7.BMP 7 7
R0052_13_D.BMP 13 D
R0053_28_S.BMP 28 S
R0054_54_s.BMP 54 s
R0055_05_5.BMP 5 5
R0056_05_5.BMP 5 5
R0057_01_1.BMP 1 1
R0058_12_C.BMP 12 C
R0059_02_2.BMP 2 2
R0060_18_I.BMP 18 I
R0061_12_C.BMP 12 C
R0062_08_8.BMP 8 8
R0063_48_m.BMP 48 m
R0064_06_6.BMP 6 6
R0065_04_4.BMP 4 4
R0066_40_e.BMP 40 e
R0067_04_4.BMP 4 4
R0068_22_M.BMP 22 M
R0069_53_r.BMP 53 r
R0070_28_S.BMP 28 S
R0071_43_h.BMP 43 h
R0072_40_e.BMP 40 e
R0073_61_z.BMP 61 z
R0074_42_g.BMP 42 g
R0075_09_9.BMP 9 9
R0076_04_4.BMP 4 4
R0077_03_3.BMP 3 3
R0078_38_c.BMP 38 c
R0079_06_6.BMP 6 6
R0080_39_d.BMP 39 d
R0081_50_o.BMP 50 o
R0082_22_M.BMP 22 M
R0083_24_O.BMP 24 O
R0084_55_t.BMP 55 t
R0085_00_0.BMP 0 0
R0086_08_8.BMP 8 8
R0087_00_0.BMP 0 0
R0088_30_U.BMP 30 U
R0089_05_5.BMP 5 5
R0090_06_6.BMP 6 6
R0091_35_Z.BMP 35 Z
R0092_06_6.BMP 6 6
R0093_39_d.BMP 39 d
R0094_04_4.BMP 4 4
R0095_55_t.BMP 55 t
R0096_34_Y.BMP 34 Y
R0097_08_8.BMP 8 8
R0098_47_l.BMP 47 l
R0099_05_5.BMP 5 5
R0100_09_9.BMP 9 9
R0101_41_f.BMP 41 f
R0102_56_u.BMP 56 u
R0103_05_5.BMP 5 5
R0104_03_3.BMP 3 3
R0105_10_A.BMP 10 A
R0106_28_S.BMP 28 S
R0107_04_4.BMP 4 4
R0108_02_2.BMP 2 2
R0109_28_S.BMP 28 S
R0110_00_0.BMP 0 0
R0111_03_3.BMP 3 3
R0112_07_7.BMP 7 7
R0113_01_1.BMP 1 1
R0114_03_3.BMP 3 3
R0115_02_2.BMP 2 2
R0116_10_A.BMP 10 A
R0117_07_7.BMP 7 7
R0118_08_8.BMP 8 8
R0119_54_s.BMP 54 s
